मां	अम्मा
साईकल	सैकल 
सौ 	सैंकड़ा
 खरगोश	सैहरू 
लाठी	सोठी
ससुर	सोहरा
ससुर	सौहरा
सुन्दर	सोहणा 
ससुराल	सोहरिए 
सुधार	सोक्का 
गुण	सोबत
आदत	सोबत
शौकीन	सौंकी 
सोगन्ध	सौह 
सोगन्ध	सोह 
साथ	सौग
साथ	सौगी 
आसान	सौखा 
सावन	सौण 
गाए	सौरना 
आसान 	सौखियां 
कण्ठ	संग्घा 
झिझकना	संगणा 
गुड़	संचोलू 
सांय	संझ
भोजन 	संबला 
सूंघना	सुंघढ़ 
शोर 	हल्ला 
तरीका	हज 
नुक्सान	हर्ज 
हानि	हर्ज
छोटी	हलकी 
आवाज	हक
पुकारना	हक
अधिकार 	हक
शोच 	हगणा 
दुकान	हट्टी 
खेत 	हार 
हां	हामी 
आषाढ़	हाड़ 
आंखे	हाखी
हिनहिनाना	हिणकणा 
वक्ष	हिक 
भूचाल	हिल्लण 
भूकंप	हिल्लण
लालच	हिरख 
नकल	हिरख 
बहाना 	हील्ला 
शरारत	हुज्जत
छेड़छाड़	हुज्जत
प्रयास	हुडमुच्ची 
ऋतु	हयूंद
ऋतु	हियूंद 
होना	हुन्दा 
इकट्ठा	हुंजणा
बाकी	होर 
ज्यादा	होर 
अन्य	होर 
आह	होआ 
गाय	त्रूणा 
जान	त्राण 
जोर	त्राण 
नकम्मा 	ढिक्खर 
कठोड़ी-स्त्री० (कां०) काले रंग का घान
 कठुग्गा-पु० (का०, ह०) नकारा तोता
 कठेड़ा-पु० (काo, b०) लकड़ी का बना टुकड़ा जिस पर रख ____ कर घास काटा जाता है
 कठेर-पु० (का०, बि०) बेर की प्रजाति का एक वृक्ष
 कठरल-स्त्री० (का०, बि०) 'कठर' के वृक्ष की गोंद
 कईदा-पु० दात का कीड़ा
 कड़छ-पु० कलछी
 कड़छा-पुo बड़ी कलछी
 कड़छी-स्त्री० छोटी कलछी
 कड़यथा-पु० कड़ाह का पलटा
 कड़योडू-पु० कुलथ का 'भल्ला'
 कड़याड्डी-स्त्री (काo) बांस की बनी छड़ी
कड़याठी-स्त्री० (कां0, ) घान को गाहते समय 'पराळ को __हिलाने की छड़ी
 कड़यारी-स्त्री० (का०) एक प्रकार की ईख
 फड़याल-वि० (कां०) कंटीला
कड़व-पुo (का0, 60) दाने रहित मक्की
 कड़ाका-पु० टूटने की ध्वनि
 कड़ाका-पु० चोट लगने का भाव
 कड़ाकी-स्त्री० चूहे मारने का यंत्र
 कड़ाहटू-पुo (काo, कु०) छोटी कड़ाही
 कड़िघा-पु० (कां०) सूखने की क्रिया
 फरपा-पु० (काo) बिनौले
 फडेतेड़ी-स्त्री० (का०) टोकरे के ऊपरी ओर की सख्त बुनाई
 कड़ी-स्त्री० लस्सी से बना व्यंजन
 कण-पु० अंश
 कणक-स्त्री० गेहूं
 कणकेर-स्त्री० गर्दन की पीड़ा
 फणतेरना-स० क्रि० (काo, 30, 60) तंग करना
 कणत्याठणा-अ0 क्रि० तंग आना
 कणदेयो-पु. विवाह में पूजा स्थल पर बना चित्र
 कणा -पु० (काo, 30, ह0) मकड़ी
 कणैहज-वि० (कां०) दानेदार, अधपका
 कतरा-पु० टुकड़ा
 कतरा-पु० पानी की बूंद
 कतळा-पु० (का0. ऊo, ह) छील कर निकाला हुआ टुकड़ा
 कतलू-पुo (का0, 50, ह०) तवे पर तला हुआ साग का पकोड़ा
कताई-स्त्री० कातने का पारिश्रमिक
 कताउण-स्त्री० दे० कताई
 कताब-स्त्री० किताब
 कतापटू-पुo छोटी किताब
 कतार-स्त्री० पक्ति
 कताळी-वि० इकतालीस
 कताहण-वि० (काo, 30, ह०) कातने वाली
 कताठर-वि० कातने में कुशल
 कतीरा-पुo कैंची
 कतीरी-स्त्री० (80, का०) छोटी कैंची
 कतोणी-स्त्री० तकली
 कत्तक-पु० कार्तिक मास
 कत्तर-स्त्री० कपड़े की कतरन
 कत्ती-वि० इकतीस
 कत्थरंगा-वि० कत्ये के रंग का
 कत्या -पु० खेर वृक्ष के रस से बना पदार्थ
कथ-पु० (कां0) कत्या
 कवर-स्त्री० सम्मान
कदाळ-पु० कुदाल
 कदी-अ0 कमी, कब
 कदी-कवाइ-अ0 कमी-कमार
 फदेठा-वि० (काo, ह०) कैसा
 ककड़ा-अ० (काo, 30) किस दिन का
कनफुल-पु0 कर्णाभूषण, कर्णिका
 कनसेली-स्त्री० कर्णनाव
 बनसोत-स्त्री० गहरी नींद
 कनाऊ-पु० दे० कनऊ
 कनाओं-पु० बदनामी, कुनाम
